YEAR,LATITUDE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,ACCIDENT TYPE
2021,40.77529,-73.953636,1,0,Injured
2021,40.67909,-73.90829,1,0,Injured
2021,40.883778,-73.89405,1,0,Injured
2021,40.69423,-73.94608,1,0,Injured
2021,40.82463,-73.91059,1,0,Injured
2021,40.64495,-73.9249,1,0,Injured
2021,40.695004,-73.9525,1,0,Injured
2021,40.73509,-73.9956,1,0,Injured
2021,40.865967,-73.8568,1,0,Injured
2021,40.71475,-73.96105,1,0,Injured
2021,40.54977,-74.192116,1,0,Injured
2021,40.680088,-73.80177,1,0,Injured
2021,40.718628,-74.00255,1,0,Injured
2021,40.692097,-73.988976,1,0,Injured
2021,40.679005,-73.819595,1,0,Injured
2021,40.764988,-73.96116,1,0,Injured
2021,40.75108,-73.98686,1,0,Injured
2021,40.750244,-73.920135,1,0,Injured
2021,40.73697,-73.980835,1,0,Injured
2021,40.62717,-73.96541,1,0,Injured
2021,40.649406,-73.97175,1,0,Injured
2021,40.689568,-73.98966,1,0,Injured
2021,40.67625,-73.73627,1,0,Injured
2021,40.76275,-73.99692,1,0,Injured
2021,40.71142,-73.7598,1,0,Injured
2021,40.624172,-73.94836,1,0,Injured
2021,40.84691,-73.93824,1,0,Injured
2021,40.72214,-73.902275,1,0,Injured
2021,40.728344,-74.00535,1,0,Injured
2021,40.80907,-73.94455,1,0,Injured
2021,40.753677,-73.914474,1,0,Injured
2021,40.60115,-73.97839,1,0,Injured
2021,40.721348,-74.00554,1,0,Injured
2021,40.676292,-73.92484,1,0,Injured
2021,40.703434,-73.9248,1,0,Injured
2021,40.78057,-73.95817,1,0,Injured
2021,40.833096,-73.94066,1,0,Injured
2021,40.79507,-73.93919,1,0,Injured
2021,40.63552,-74.0167,1,0,Injured
2021,40.578938,-73.98522,1,0,Injured
2021,40.676445,-73.92762,1,0,Injured
2021,40.802074,-73.93407,1,0,Injured
2021,40.768234,-73.90709,1,0,Injured
2021,40.6087,-73.97404,1,0,Injured
2021,40.73656,-74.0011,1,0,Injured
2021,40.72301,-73.98576,1,0,Injured
2021,40.81094,-73.94318,1,0,Injured
2021,40.80322,-73.95253,1,0,Injured
2021,40.743782,-73.97352,1,0,Injured
2021,40.74406,-74.00682,1,0,Injured
2021,40.73988,-73.92431,1,0,Injured
2021,40.852802,-73.8883,1,0,Injured
2021,40.711037,-73.96059,1,0,Injured
2021,40.862755,-73.901085,1,0,Injured
2021,40.69726,-73.80575,1,0,Injured
2021,40.576378,-74.10383,1,0,Injured
2021,40.617287,-73.97786,1,0,Injured
2021,40.63062,-73.99574,1,0,Injured
2021,40.80249,-73.95082,1,0,Injured
2021,40.824398,-73.909706,1,0,Injured
2021,40.80003,-73.954865,1,0,Injured
2021,40.83718,-73.942604,1,0,Injured
2021,40.706604,-74.00841,1,0,Injured
2021,40.6664,-73.74011,1,0,Injured
2021,40.648045,-74.00009,1,0,Injured
2021,40.704304,-73.92981,1,0,Injured
2021,40.697716,-73.967735,1,0,Injured
2021,40.62508,-73.962326,1,0,Injured
2021,40.71757,-73.874405,1,0,Injured
2021,40.680023,-73.97451,1,0,Injured
2021,40.643467,-74.02277,1,0,Injured
2021,40.625435,-73.99135,1,0,Injured
2021,40.690693,-73.95728,1,0,Injured
2021,40.77215,-73.929,1,0,Injured
2021,40.620483,-74.00008,1,0,Injured
2021,40.746536,-73.985954,1,0,Injured
2021,40.679874,-73.89122,1,0,Injured
2021,40.825745,-73.94886,1,0,Injured
2021,40.78178,-73.98508,1,0,Injured
2022,40.763428,-73.99271,1,0,Injured
2021,40.687504,-73.91465,1,0,Injured
2021,40.82403,-73.94476,1,0,Injured
2021,40.689648,-73.9184,1,0,Injured
2021,40.753326,-73.8718,1,0,Injured
2021,40.86857,-73.93093,1,0,Injured
2021,40.713577,-73.99607,1,0,Injured
2021,40.83445,-73.940865,1,0,Injured
2022,40.80879,-73.91619,1,0,Injured
2022,40.651333,-74.00751,1,0,Injured
2022,40.69613,-73.987114,1,0,Injured
2021,40.680218,-73.775505,1,0,Injured
2021,40.878464,-73.82828,1,0,Injured
2021,40.872494,-73.88147,1,0,Injured
2021,40.678116,-73.92172,1,0,Injured
2021,40.831924,-73.85104,1,0,Injured
2021,40.677296,-73.87682,1,0,Injured
2021,40.689735,-73.97611,1,0,Injured
2021,40.74594,-73.90006,1,0,Injured
2021,40.643158,-74.11252,1,0,Injured
2021,40.644615,-73.962166,1,0,Injured
2021,40.676937,-73.92183,1,0,Injured
2021,40.7606,-73.964325,1,0,Injured
2021,40.68821,-73.96583,1,0,Injured
2021,40.81339,-73.95627,1,0,Injured
2022,40.641815,-73.99582,1,0,Injured
2022,40.8283,-73.88296,1,0,Injured
2021,40.72247,-73.987144,1,0,Injured
2021,40.822315,-73.81918,1,0,Injured
2021,40.676548,-73.96354,1,0,Injured
2021,40.625015,-73.94073,1,0,Injured
2021,40.744644,-73.988846,1,0,Injured
2021,40.72293,-73.95333,1,0,Injured
2021,40.680035,-73.9055,1,0,Injured
2021,40.836437,-73.91842,1,0,Injured
2021,40.761265,-73.87501,1,0,Injured
2021,40.61578,-73.99995,1,0,Injured
2021,40.67815,-73.83109,1,0,Injured
2021,40.788685,-73.9555,1,0,Injured
2021,40.84434,-73.91475,1,0,Injured
2021,40.65263,-74.00618,1,0,Injured
2021,40.829647,-73.94439,1,0,Injured
2021,40.725006,-73.99935,1,0,Injured
2021,40.753513,-73.98879,1,0,Injured
2021,40.83874,-73.913765,1,0,Injured
2021,40.70499,-73.91736,1,0,Injured
2021,40.745068,-73.936356,1,0,Injured
2021,40.743336,-73.9511,1,0,Injured
2021,40.67148,-73.97775,1,0,Injured
2021,40.6323,-73.93702,1,0,Injured
2021,40.713676,-73.82232,1,0,Injured
2021,40.66855,-73.990234,1,0,Injured
2021,40.759983,-73.964806,1,0,Injured
2021,40.86038,-73.88889,1,0,Injured
2021,40.676693,-73.99683,1,0,Injured
2021,40.72857,-73.85809,1,0,Injured
2021,40.73951,-73.98475,1,0,Injured
2021,40.68984,-73.97863,1,0,Injured
2021,40.680233,-73.96423,1,0,Injured
2021,40.705147,-73.90213,1,0,Injured
2021,40.622166,-74.141624,1,0,Injured
2021,40.697193,-73.72752,1,0,Injured
2021,40.781315,-73.94614,1,0,Injured
2021,40.650764,-73.88481,1,0,Injured
2021,40.822105,-73.90062,1,0,Injured
2021,40.739674,-73.934586,1,0,Injured
2021,40.63007,-73.982414,1,0,Injured
2021,40.65836,-73.930084,1,0,Injured
2021,40.840286,-73.92147,1,0,Injured
2021,40.820435,-73.93624,1,0,Injured
2021,40.626034,-73.98327,1,0,Injured
2021,40.642548,-74.016655,1,0,Injured
2021,40.74967,-73.99531,1,0,Injured
2021,40.675644,-73.94161,1,0,Injured
2021,40.570877,-74.16984,1,0,Injured
2021,40.83629,-73.85293,1,0,Injured
2021,40.6792,-73.9553,1,0,Injured
2021,40.767647,-73.92078,1,0,Injured
2021,40.692974,-73.90811,1,0,Injured
2021,40.70241,-73.79253,1,0,Injured
2021,40.816067,-73.91765,1,0,Injured
2021,40.71997,-73.992905,1,0,Injured
2021,40.688698,-73.942085,1,0,Injured
2021,40.75613,-73.96761,1,0,Injured
2021,40.718304,-73.987404,1,0,Injured
2021,40.800793,-73.93492,1,0,Injured
2021,0.0,0.0,1,0,Injured
2021,40.70321,-73.94626,1,0,Injured
2021,40.808292,-73.94883,1,0,Injured
2021,40.601948,-73.99382,1,0,Injured
2021,40.7441,-73.99565,1,0,Injured
2021,40.635723,-73.97655,1,0,Injured
2021,40.753098,-73.97788,1,0,Injured
2021,40.72766,-74.001396,1,0,Injured
2021,40.848545,-73.86161,1,0,Injured
2021,40.668617,-73.98515,1,0,Injured
2021,40.71786,-73.948326,1,0,Injured
2021,40.699844,-73.991035,1,0,Injured
2022,40.878,-73.90408,1,0,Injured
2021,40.83016,-73.94167,1,0,Injured
2021,40.72593,-73.8969,1,0,Injured
2021,40.747395,-73.853546,1,0,Injured
2021,40.715954,-73.986725,1,0,Injured
2021,40.755764,-73.904106,1,0,Injured
2021,40.65492,-73.726395,1,0,Injured
2021,40.70103,-73.855,1,0,Injured
2021,40.649887,-73.96176,1,0,Injured
